2024-06-07 10:50:05 [INFO] Calibration started.
2024-06-07 10:50:05 [INFO] 加速度X: 0.95, Y: -1.81, Z: -166.31
2024-06-07 10:50:05 [INFO] 陀螺仪X: 0.38, Y: -1.11, Z: -0.98
2024-06-07 10:50:05 [INFO] 磁力计X: -1.46, Y: -3.8, Z: -4.49
2024-06-07 10:50:06 [INFO] 加速度X: 0.86, Y: -1.81, Z: -166.38
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.36, Y: -0.93, Z: -1
2024-06-07 10:50:06 [INFO] 磁力计X: -1.46, Y: -3.81, Z: -4.5
2024-06-07 10:50:06 [INFO] 加速度X: 0.85, Y: -1.84, Z: -166.19
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.39, Y: -0.88, Z: -1.03
2024-06-07 10:50:06 [INFO] 磁力计X: -1.46, Y: -3.8, Z: -4.48
2024-06-07 10:50:06 [INFO] 加速度X: 0.86, Y: -1.97, Z: -166.21
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.41, Y: -0.78, Z: -1.17
2024-06-07 10:50:06 [INFO] 磁力计X: -1.46, Y: -3.8, Z: -4.47
2024-06-07 10:50:06 [INFO] 加速度X: 0.9, Y: -2.11, Z: -166.25
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.45, Y: -0.71, Z: -1.25
2024-06-07 10:50:06 [INFO] 磁力计X: -1.44, Y: -3.8, Z: -4.48
2024-06-07 10:50:06 [INFO] 加速度X: 0.91, Y: -2.04, Z: -166.24
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.4, Y: -0.81, Z: -1.21
2024-06-07 10:50:06 [INFO] 磁力计X: -1.44, Y: -3.81, Z: -4.49
2024-06-07 10:50:06 [INFO] 加速度X: 1.02, Y: -2.09, Z: -166.2
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.37, Y: -0.7, Z: -1.19
2024-06-07 10:50:06 [INFO] 磁力计X: -1.45, Y: -3.8, Z: -4.45
2024-06-07 10:50:06 [INFO] 加速度X: 1.05, Y: -2.09, Z: -166.35
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.36, Y: -0.78, Z: -1.11
2024-06-07 10:50:06 [INFO] 磁力计X: -1.46, Y: -3.81, Z: -4.45
2024-06-07 10:50:06 [INFO] 加速度X: 1.02, Y: -2.06, Z: -166.41
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.33, Y: -0.85, Z: -1.06
2024-06-07 10:50:06 [INFO] 磁力计X: -1.46, Y: -3.8, Z: -4.44
2024-06-07 10:50:06 [INFO] 加速度X: 0.95, Y: -1.98, Z: -166.41
2024-06-07 10:50:06 [INFO] 陀螺仪X: 0.22, Y: -0.93, Z: -0.84
